region_id,region_type,region
417933,neigh,Stonegate Estates; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Mesa
417760,neigh,Colonia Coronita; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Chandler
417765,neigh,San Marcos Country Club; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Chandler
276015,neigh,Western Hills II; AZ; Tucson; Pima County
267944,neigh,McClintock; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Tempe
761729,neigh,Forest Springs; AZ; Flagstaff; Coconino County
274916,neigh,Optimist Park NW; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Tempe
275263,neigh,Rural-Geneva; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Tempe
113305,neigh,Woodglen; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Chandler
112125,neigh,Hohokam Village; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Mesa
761709,neigh,University Heights-Highlands; AZ; Flagstaff; Coconino County
267969,neigh,Scudder Park West; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Tempe
417529,neigh,El Dorado Lakes; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Gilbert
417670,neigh,Neely Farms; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Gilbert
274918,neigh,Optimist Park SW; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Tempe
254351,neigh,Sherwood; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Mesa
274873,neigh,Ocotillo Oracle; AZ; Tucson; Pima County
